Name,Price,24h Change,,
10-08-2025 17:09,"Bitcoin
BTC","$118,240.52",0.13%,$2.35T
10-08-2025 17:09,"Ethereum
ETH","$4,206.94",0.22%,$507.82B
10-08-2025 17:09,"XRP
XRP",$3.19,0.08%,$189.37B
10-08-2025 17:09,"Tether
USDT",$0.9999,0.01%,$164.5B
10-08-2025 17:09,"BNB
BNB",$800.38,0.08%,$111.48B
10-08-2025 17:09,"Solana
SOL
Buy",$179.73,0.04%,$96.94B
10-08-2025 17:09,"USDC
USDC
Buy",$0.9998,0.01%,$65.25B
10-08-2025 17:09,"Dogecoin
DOGE
Buy",$0.2319,0.00%,$34.91B
10-08-2025 17:09,"TRON
TRX
Buy",$0.3403,0.00%,$32.23B
10-08-2025 17:09,"Cardano
ADA
Buy",$0.7920,0.08%,$28.06B
10-08-2025 17:14,Bitcoin,118231.53,0.17%,3.77%
10-08-2025 17:14,Ethereum,4208.45,0.22%,20.54%
10-08-2025 17:14,XRP,3.19,0.24%,10.95%
10-08-2025 17:14,Tether,1,0.00%,0.01%
10-08-2025 17:14,BNB,800.34,0.12%,6.70%
10-08-2025 17:14,Solana,180.01,0.59%,11.12%
10-08-2025 17:14,USDC,0.9999,0.01%,0.02%
10-08-2025 17:14,Dogecoin,0.2317,0.33%,17.09%
10-08-2025 17:14,TRON,0.3403,0.13%,4.34%
10-08-2025 17:14,Cardano,0.792,0.19%,9.36%
2025-08-10 17:22:01,Bitcoin,118474.2,0.26%,3.91%
2025-08-10 17:22:01,Ethereum,4197.73,0.22%,20.12%
2025-08-10 17:22:01,XRP,3.19,0.05%,11.10%
2025-08-10 17:22:01,Tether,1.0,0.01%,0.01%
2025-08-10 17:22:01,BNB,801.0,0.00%,6.84%
2025-08-10 17:22:01,Solana,180.38,0.19%,11.49%
2025-08-10 17:22:01,USDC,0.9997,0.01%,0.04%
2025-08-10 17:22:01,Dogecoin,0.2321,0.08%,17.33%
2025-08-10 17:22:01,TRON,0.3405,0.02%,4.41%
2025-08-10 17:22:01,Cardano,0.7934,0.10%,9.60%
